"","UIC","Agence","Type","Service","Station","Works","Glob_Mars_Ent","Glob_Mars_Sort","P1_Mars_Ent","P1_Mars_Sort","P0_Mars_Ent","P0_Mars_Sort","P2_Mars_Ent","P2_Mars_Sort","P3_Mars_Ent","P3_Mars_Sort","P4_Mars_Ent","P4_Mars_Sort","P6_Mars_Ent","P6_Mars_Sort","P7_Mars_Ent","P7_Mars_Sort","P5_Mars_Ent","P5_Mars_Sort","Piano","Power.Station","Baby.Foot","Distr.Histoires.Courtes","NumTrav","NumNonTrav","NumTotal","Clean"
"1","111849","DGGP","24","3","MARNE LA VALLEE CHESSY","2",7.32,7.48,7.67,NA,7.64,NA,7.95,8.02,8.28,8.12,7.19,6.96,7.26,7.05,7.13,6.86,6.71,7.11,1,2,0,1,5769082,5998014,11767096,91.86
"2","113001","DGGP","24","3","PARIS GARE DE L'EST","2",7.54,8.19,8.33,NA,8.16,NA,8.43,8.35,7.94,8.4,7.43,7.22,7.52,7.18,7.34,7.26,7.62,7.52,1,3,0,2,37831139,47757131,85588270,95.9
"3","118000","Est","123","2","TROYES","4",7.18,NA,8.11,NA,7.8,NA,8.02,NA,7.63,NA,6.98,NA,7.64,NA,6.32,NA,6.73,NA,0,2,0,0,967315,1325089,2292404,90.34
"4","141002","Est","36","3","NANCY","4",8,7.99,8.77,NA,8.63,NA,8.97,8.2,8.38,8.08,8.19,7.7,8.25,7.74,8.12,7.67,8.51,7.81,1,3,0,0,7582349,11488407,19070756,92.37
"5","142109","Est","123","2","LORRAINE TGV","0",7.88,NA,9.18,NA,9.03,NA,8.92,NA,8.94,NA,8.28,NA,8.57,NA,7.98,NA,8.14,NA,NA,NA,NA,NA,583523,972539,1556062,94.24
"6","147322","Est","123","2","MEUSE TGV","0",8.43,NA,8.89,NA,8.84,NA,8.25,NA,8.81,NA,8.32,NA,8.46,NA,8.17,NA,6.81,NA,NA,NA,NA,NA,239313,299141,538454,95.09
"7","171009","Est","36","2","REIMS","0",8.04,8.15,8.92,NA,8.62,NA,8.95,9.07,8.46,8.5,7.98,8.05,8.23,8.26,7.73,7.83,7.67,7.67,1,1,0,0,3643133,4793596,8436729,97.87
"8","171926","Est","123","2","CHAMPAGNE ARDENNE","0",8.1,NA,8.74,NA,8.66,NA,8.61,NA,8.48,NA,7.97,NA,8.21,NA,7.74,NA,7.38,NA,1,0,1,1,969535,1211919,2181454,88.31
"9","172007","Est","123","2","CHARLEVILLE MEZIERES","0",7.75,NA,8.61,NA,8.17,NA,8.85,NA,7.67,NA,7.41,NA,7.45,NA,7.36,NA,8.36,NA,0,2,0,0,973619,1301109,2274728,97.95
"10","182014","Est","123","2","COLMAR","0",7.25,NA,8.06,NA,7.92,NA,7.97,NA,7.54,NA,7.62,NA,7.57,NA,7.67,NA,7.29,NA,NA,NA,NA,NA,3950944,6372491,10323435,96.03
"11","182063","Est","36","3","MULHOUSE VILLE","0",7.62,7.58,8.68,NA,8.58,NA,8.69,8.82,7.89,8.04,7.51,7.34,7.78,7.69,7.24,7,8.18,7.87,0,1,0,1,5055333,6651754,11707087,93.27
"12","184002","Centre Ouest","Gare B","2","BELFORT VILLE","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006802,1258503,2265305,NA
"13","191007","Est","123","2","THIONVILLE","0",7.36,NA,8.74,NA,8.35,NA,8.65,NA,7.87,NA,7.66,NA,7.95,NA,7.37,NA,7.82,NA,NA,NA,NA,NA,2786603,3483254,6269857,95.81
"14","192039","Est","24","3","METZ VILLE","0",7.94,8.4,8.56,NA,8.36,NA,8.75,8.7,8.09,8.32,7.81,8.08,7.89,8.2,7.72,7.95,7.83,7.8,1,3,1,0,7035904,10196963,17232867,94.37
"15","212027","Est","24","3","STRASBOURG","0",7.81,7.8,8.65,NA,8.42,NA,8.73,8.28,8.09,7.77,7.83,7.55,8.02,7.63,7.64,7.47,7.58,7.42,1,3,1,1,20170472,22663452,42833924,93.52
"16","223263","Manche Nord","24","3","LILLE EUROPE","4",6.94,7.19,8.14,NA,8.47,NA,8.29,7.88,7.85,8.15,6.89,7.01,7.09,7.24,6.69,6.78,7.34,7.1,1,0,0,1,6938632,11013702,17952334,95.3
"17","271007","DGGP","24","3","PARIS GARE DU NORD (SURFACE pour entrants)","2",6.86,6.34,7.62,NA,7.57,NA,7.79,6.97,7,6.33,6.28,5.38,6.58,5.57,5.98,5.19,7.19,6.58,3,3,0,4,249978244,277300314,527278558,92.73
"18","271494","DGGP","24","3","AEROPORT CDG2 TGV ROISSY","4",7.34,7.51,8.01,NA,8.04,NA,8.3,8.02,8.09,8.31,7.02,7.17,7.27,7.38,6.77,6.97,6.96,7.33,1,3,0,2,14811735,14865895,29677630,93.28
"19","276691","Manche Nord","123","2","COMPIEGNE","0",7.4,NA,8.74,NA,8.52,NA,8.43,NA,8.22,NA,7.32,NA,7.49,NA,7.14,NA,7.7,NA,0,2,0,0,2164053,2705066,4869119,94.24
"20","281006","Manche Nord","123","2","DUNKERQUE","0",7.7,NA,9.39,NA,9.18,NA,9.33,NA,8.1,NA,6.96,NA,6.99,NA,6.93,NA,8.06,NA,NA,NA,NA,NA,1663300,2079125,3742425,93.57
"21","281071","Manche Nord","123","2","CALAIS FRETHUN","0",7.46,NA,8.41,NA,8.49,NA,7.64,NA,8.85,NA,6.94,NA,7.12,NA,6.76,NA,7.1,NA,1,0,1,0,723716,904645,1628361,97.57
"22","286005","Manche Nord","24","3","LILLE FLANDRES","2",7.72,7.73,8.29,NA,7.99,NA,8.29,8.02,7.82,7.67,7.31,7.13,7.54,7.32,7.08,6.94,7.61,7.67,1,3,0,0,19284090,27947956,47232046,95.31
"23","286542","Manche Nord","Gare B","2","TOURCOING","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731606,914508,1646114,NA
"24","300822","Centre Ouest","123","2","BELFORT MONTBELIARD TGV","0",8.43,NA,8.48,NA,8.49,NA,8.39,NA,8.83,NA,8.68,NA,8.66,NA,8.7,NA,8.14,NA,1,3,0,0,733608,1004942,1738550,94.03
"25","300863","Centre Ouest","123","2","BESANCON FRANCHE COMTE TGV","0",8.07,NA,9,NA,9.03,NA,8.88,NA,9.12,NA,8.29,NA,8.71,NA,7.86,NA,7.86,NA,1,0,1,0,641643,729140,1370783,94.74
"26","313874","Manche Nord","123","3","AMIENS","0",7.35,NA,8.48,NA,8.27,NA,8.51,NA,7.88,NA,7.24,NA,7.36,NA,7.12,NA,7.61,NA,1,2,0,0,5244716,7087454,12332170,93.85
"27","313882","Manche Nord","123","2","TGV HAUTE PICARDIE","0",7.43,NA,8.88,NA,8.81,NA,8.59,NA,8.69,NA,7.69,NA,7.67,NA,7.7,NA,7.19,NA,1,0,1,0,376257,470321,846578,95.55
"28","318964","Grand Sud","36","3","AVIGNON TGV","0",7.98,8.14,8.47,NA,8.52,NA,8.13,8.39,8.62,8.88,8.16,8.3,8.29,8.35,8.03,8.25,7.88,8.08,1,0,0,1,3652860,5176745,8829605,95.64
"29","319012","Grand Sud","24","3","AIX EN PROVENCE TGV","0",8.24,8.49,8.37,NA,8.3,NA,8.3,8.48,8.69,8.76,8.09,8.42,8.04,8.38,8.14,8.47,7.91,7.22,1,0,0,1,3597729,5534968,9132697,90.81
"30","342014","Manche Nord","123","2","ARRAS","0",7.54,NA,7.9,NA,7.82,NA,7.83,NA,7.54,NA,6.92,NA,7.04,NA,6.79,NA,7.12,NA,NA,NA,NA,NA,4060559,5075699,9136258,92.68
"31","343004","Manche Nord","123","2","VALENCIENNES","0",7.64,NA,8.6,NA,8.26,NA,8.67,NA,7.61,NA,7.4,NA,7.58,NA,7.22,NA,7.82,NA,1,0,0,0,3080883,3851104,6931987,97.38
"32","345009","Manche Nord","123","2","DOUAI","0",7.41,NA,8.77,NA,8.54,NA,8.53,NA,7.75,NA,7.45,NA,7.76,NA,7.15,NA,7.86,NA,1,0,0,0,2823221,3529027,6352248,95.11
"33","345025","Manche Nord","123","2","LENS","0",7.53,NA,8.88,NA,8.5,NA,8.97,NA,8.23,NA,7.77,NA,8.07,NA,7.48,NA,8.15,NA,NA,NA,NA,NA,1495770,1994360,3490130,92.87
"34","384008","DGGP","24","3","PARIS ST LAZARE","4",7.48,7.41,7.72,NA,7.67,NA,7.7,7.52,7.71,7.69,7.51,7.4,7.63,7.54,7.38,7.25,7.65,7.23,1,0,0,1,109677616,137097020,246774636,92.68
"35","387001","Manche Nord","123","2","EVREUX NORMANDIE","0",7.3,NA,8.83,NA,8.42,NA,8.77,NA,8.11,NA,7.51,NA,7.9,NA,7.12,NA,7.56,NA,0,0,1,0,1089292,1361615,2450907,89.64
"36","391003","DGGP","24","3","PARIS MONTPARNASSE","4",6.89,7.15,7.82,NA,7.92,NA,7.96,7.39,7.72,7.76,6.74,6.76,6.85,7,6.63,6.53,7.45,7.46,1,7,1,1,54888321,67924299,122812620,95.69
"37","393702","DGGP","24","2","MASSY TGV","2",7.27,7.3,8.49,NA,8.43,NA,8.63,7.82,8.25,7.99,7.11,7.03,7.26,7.24,6.97,6.82,7.64,7.85,1,2,0,1,2397978,3961877,6359855,95.74
"38","396002","CERA","123","3","LE MANS","2",7.68,NA,8.48,NA,8.43,NA,8.44,NA,7.99,NA,7.46,NA,7.64,NA,7.28,NA,8.03,NA,1,0,0,1,4916622,7564034,12480656,88.59
"39","411017","Manche Nord","36","3","ROUEN RIVE DROITE","0",7.8,7.75,8.52,NA,8.43,NA,8.57,8.51,8.33,8.42,7.57,7.16,7.56,7.13,7.59,7.18,7.74,7.1,1,0,1,1,5808945,7957459,13766404,95.17
"40","413013","Manche Nord","123","2","LE HAVRE","0",7.29,NA,8.61,NA,8.41,NA,8.6,NA,7.62,NA,7.47,NA,8,NA,6.94,NA,7.65,NA,0,2,0,0,1651915,2064894,3716809,97.02
"41","415604","Manche Nord","Gare B","2","VERNON","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690478,2113097,3803575,NA
"42","444000","Manche Nord","123","2","CAEN","0",7.53,NA,8.7,NA,8.59,NA,8.34,NA,8.05,NA,7.32,NA,7.55,NA,7.09,NA,7.46,NA,1,0,0,0,2835925,3429729,6265654,94.28
"43","444265","Manche Nord","123","2","LISIEUX","4",5.11,NA,6.64,NA,5.7,NA,7.18,NA,6.62,NA,5.66,NA,6.06,NA,5.27,NA,5.91,NA,NA,NA,NA,NA,1070435,1338043,2408478,95.57
"44","444372","Manche Nord","123","2","TROUVILLE DEAUVILLE","0",7.66,NA,8.9,NA,8.57,NA,9.03,NA,8.6,NA,7.99,NA,8.26,NA,7.71,NA,6.82,NA,0,0,0,1,666054,832567,1498621,94.53
"45","444877","Manche Nord","123","2","CHERBOURG","0",7.11,NA,8.55,NA,8.19,NA,8.18,NA,8.01,NA,7.59,NA,7.93,NA,7.25,NA,7.46,NA,0,0,0,1,516083,637140,1153223,97.35
"46","471003","CERA","24","3","RENNES","4",7.32,7.33,7.96,NA,8.17,NA,8.54,7.85,8.3,8.19,7.67,7.49,7.79,7.55,7.55,7.43,7.98,7.67,1,1,1,1,10418643,15099483,25518126,89.82
"47","473009","CERA","123","2","ST BRIEUC","2",7.88,NA,8.81,NA,8.65,NA,8.49,NA,8.46,NA,7.85,NA,8.11,NA,7.6,NA,8.04,NA,0,1,1,1,1235284,1544106,2779390,NA
"48","473207","CERA","Gare B","2","GUINGAMP","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636523,795654,1432177,NA
"49","474007","CERA","123","2","BREST","0",7.85,NA,8.97,NA,8.81,NA,8.74,NA,8.48,NA,7.95,NA,8.15,NA,7.75,NA,7.89,NA,1,0,0,1,1722004,2152505,3874509,93.04
"50","474098","CERA","123","2","QUIMPER","0",7.01,NA,8.45,NA,8.31,NA,7.71,NA,7.75,NA,7.1,NA,7.29,NA,6.91,NA,7.4,NA,0,0,0,1,951271,1189089,2140360,99.41
"51","474338","CERA","123","2","MORLAIX","0",7.76,NA,8.51,NA,8.21,NA,8.35,NA,8.58,NA,8.07,NA,8.44,NA,7.71,NA,7.77,NA,NA,NA,NA,NA,551004,688755,1239759,92.24
"52","476002","CERA","123","2","LORIENT BRETAGNE SUD","0",8.07,NA,8.64,NA,8.88,NA,8.22,NA,8.61,NA,8.08,NA,8.34,NA,7.81,NA,7.58,NA,1,1,0,0,1222341,1721608,2943949,95.93
"53","476200","CERA","123","2","AURAY","0",7.24,NA,8.65,NA,8.16,NA,8.04,NA,8.32,NA,7.14,NA,7.25,NA,7.04,NA,7.58,NA,NA,NA,NA,NA,786183,982728,1768911,96.89
"54","476606","CERA","123","2","VANNES","0",7.84,NA,8.77,NA,8.45,NA,8.77,NA,8.52,NA,7.94,NA,8.11,NA,7.78,NA,7.94,NA,1,0,0,0,1412592,1765740,3178332,94.38
"55","478107","CERA","123","2","ST MALO","0",7.76,NA,8.85,NA,8.83,NA,8.77,NA,8.08,NA,7.03,NA,7.12,NA,6.94,NA,7.91,NA,NA,NA,NA,NA,1135793,1419742,2555535,97.74
"56","478404","CERA","123","2","LAVAL","0",7.44,NA,8.41,NA,8.3,NA,8.37,NA,8.07,NA,7.69,NA,7.91,NA,7.46,NA,7.66,NA,1,0,0,0,1340455,1786886,3127341,95.47
"57","481002","CERA","24","3","NANTES","4",6.66,6.8,8.02,NA,8.17,NA,7.78,7.77,7.84,7.61,7.21,7.2,7.44,7.45,6.99,6.96,7.27,7.09,1,3,0,1,11811037,16635263,28446300,93.29
"58","481705","CERA","123","2","ST NAZAIRE","2",7.62,NA,8.84,NA,8.56,NA,9.02,NA,8.69,NA,7.85,NA,8.19,NA,7.51,NA,7.72,NA,NA,NA,NA,NA,851047,1063809,1914856,90.82
"59","481754","CERA","123","2","LA BAULE ESCOUBLAC","0",7.22,NA,7.63,NA,7.37,NA,7.6,NA,7.62,NA,7.11,NA,7.19,NA,7.03,NA,6.89,NA,1,0,0,0,430546,538183,968729,95.77
"60","484006","CERA","36","3","ANGERS ST LAUD","0",8.1,8.17,8.74,NA,8.69,NA,8.65,8.74,8.41,8.27,8.17,8.24,8.06,8.13,8.27,8.36,8.31,8.65,1,0,0,1,5372470,8265338,13637808,95.56
"61","485003","Nelle Aquitaine","123","2","LA ROCHELLE VILLE","4",7.64,NA,8.22,NA,8.08,NA,8.22,NA,8.12,NA,7.9,NA,7.91,NA,7.88,NA,7.61,NA,0,2,0,0,1984267,2480334,4464601,94.34
"62","485300","Nelle Aquitaine","123","2","NIORT","0",7.94,NA,8.58,NA,8.57,NA,8.22,NA,8.52,NA,8.1,NA,8.26,NA,7.94,NA,8.37,NA,0,1,0,0,1166545,1458181,2624726,96.01
"63","486019","CERA","123","2","LA ROCHE SUR YON","0",7.69,NA,8.46,NA,7.92,NA,8.59,NA,7.91,NA,7.71,NA,8.16,NA,7.25,NA,7.97,NA,0,0,0,1,847396,1059245,1906641,91.98
"64","543009","CERA","123","2","ORLEANS","0",7.69,NA,8.73,NA,8.71,NA,8.69,NA,8.33,NA,7.51,NA,7.58,NA,7.43,NA,7.67,NA,1,0,0,0,3436479,4295598,7732077,95
"65","543017","CERA","123","2","LES AUBRAIS","0",7.47,NA,8.54,NA,8.28,NA,8.55,NA,7.99,NA,7.38,NA,7.61,NA,7.14,NA,7.41,NA,1,0,0,0,1585092,1981365,3566457,96.42
"66","547000","DGGP","24","3","PARIS AUSTERLITZ (SURFACE pour entrants)","0",7.1,7.7,8.18,NA,8.23,NA,8.31,7.72,8.36,8.76,7.56,7.57,7.64,7.57,7.49,7.57,7.71,7.47,1,1,0,2,21830198,22544728,44374926,93.72
"67","571000","CERA","36","3","TOURS","2",7.94,7.91,8.73,NA,8.53,NA,8.83,8.56,8.31,8.25,7.87,7.36,7.92,7.21,7.82,7.51,8,7.35,1,0,0,1,4690784,5863480,10554264,95.36
"68","571216","CERA","123","2","VENDOME VILLIERS SUR LOIR","0",7.82,NA,8.59,NA,8.26,NA,8.41,NA,8.33,NA,7.71,NA,7.98,NA,7.45,NA,7.18,NA,1,0,1,0,418302,522878,941180,94.08
"69","571240","CERA","36","3","ST PIERRE DES CORPS","0",7.4,7.64,8.34,NA,8.31,NA,7.95,8.29,8.02,8.04,7.12,7.06,7.51,7.44,6.73,6.67,7.51,6.92,0,0,0,2,3457033,4321292,7778325,98.15
"70","574004","CERA","123","2","BLOISNACHAMBORD","0",7.22,NA,8.35,NA,8,NA,8.37,NA,7.53,NA,7.18,NA,7.39,NA,6.97,NA,7.25,NA,NA,NA,NA,NA,1465901,1832376,3298277,96.8
"71","575001","Nelle Aquitaine","123","2","POITIERS","2",7.58,NA,8.59,NA,8.65,NA,8.44,NA,8.11,NA,7.6,NA,7.8,NA,7.4,NA,8.02,NA,1,2,0,0,3010346,4239924,7250270,95.41
"72","575142","Nelle Aquitaine","123","2","CHATELLERAULT","0",7.72,NA,8.78,NA,8.58,NA,8.69,NA,8.6,NA,8.22,NA,8.45,NA,7.99,NA,8.42,NA,NA,NA,NA,NA,453838,567297,1021135,97.81
"73","576009","CERA","123","2","VIERZON VILLE","0",7.05,NA,7.81,NA,7.7,NA,7.85,NA,7.51,NA,6.76,NA,6.95,NA,6.58,NA,7.26,NA,NA,NA,NA,NA,794124,992655,1786779,98.66
"74","576207","CERA","123","2","BOURGES","0",6.88,NA,7.75,NA,7.64,NA,7.65,NA,7.18,NA,6.95,NA,7.11,NA,6.8,NA,7.68,NA,NA,NA,NA,NA,843252,1054065,1897317,98.49
"75","581009","Nelle Aquitaine","24","3","BORDEAUX ST JEAN","2",7.94,8.12,8.38,NA,8.59,NA,8.52,7.96,8.39,8.4,7.89,7.92,8.02,8.01,7.75,7.83,7.94,7.38,2,0,0,1,16080989,20884401,36965390,93.99
