"","UIC","Works","Piano","PowStat","BabyFoot","Distr","People","Clean","Global"
"1",111849,"1","1","1","0","1",-0.0570766091173928,-0.916001030328864,-1.18384580183429
"2",113001,"1","1","1","0","1",1.36465273453328,0.481116679182173,-0.201918701651427
"3",118000,"1","0","1","0","0",-0.239550646152517,-1.44164927747163,-1.3706391319462
"4",141002,"1","1","1","0","0",0.0835853063656597,-0.739632210563856,0.759814525005828
"5",142109,"0","NA","NA","NA","NA",-0.253731930080112,-0.0929465380921669,1.65339342851414
"6",147322,"0","NA","NA","NA","NA",-0.273330143919595,0.201001494849514,0.451857953740252
"7",171009,"0","1","1","0","0",-0.121216478919868,1.16238447317642,0.964277494452644
"8",171926,"0","1","0","1","1",-0.241687443254633,-2.1436663443794,0.50234263755428
"9",172007,"0","0","1","0","0",-0.239891069997285,1.19005017039446,0.360985522874996
"10",182014,"0","NA","NA","NA","NA",-0.0848802201245014,0.526073437161487,-0.860743825424505
"11",182063,"0","0","1","0","1",-0.0582323284260986,-0.428393116860905,0.335743180967982
"12",191007,"0","NA","NA","NA","NA",-0.162948482617547,0.449992769811877,0.28021002877255
"13",192039,"0","1","1","1","0",0.0481892190361246,-0.047989780112848,0.537681916224098
"14",212027,"0","1","1","1","1",0.541242526009725,-0.341937813054529,0.0454562490373151
"15",223263,"1","1","0","0","1",0.0620455056577425,0.273623950046868,-0.903655806666431
"16",271007,"1","1","1","0","1",9.87120998943577,-0.615136573082675,-2.93061586179969
"17",271494,"1","1","1","0","1",0.287864149319382,-0.424934904708648,-0.795113736466268
"18",276691,"0","0","1","0","0",-0.189925435291946,-0.0929465380921669,0.113610572186257
"19",281006,"0","NA","NA","NA","NA",-0.211624547271866,-0.324646752293255,0.83554155072687
"20",281071,"0","1","0","1","0",-0.252339516437157,1.05863810860876,-0.62851427987997
"21",286005,"1","1","1","0","0",0.625946395720001,0.277082162199125,-0.57298112768454
"22",300822,"0","1","1","0","0",-0.250217375509846,-0.165568993289521,1.17883740066227
"23",300863,"0","1","0","1","0",-0.2573002367974,0.0799640695205851,1.49689090869065
"24",313874,"0","1","1","0","0",-0.0461937926624003,-0.227816812030114,-0.234733746130545
"25",313882,"0","1","0","1","0",-0.267395953110288,0.360079253853244,0.431664080214638
"26",318964,"0","1","0","0","1",-0.113650040900119,0.39120316322354,0.759814525005828
"27",319012,"0","1","0","0","1",-0.107812761880068,-1.27911330631564,0.565448492321812
"28",342014,"0","NA","NA","NA","NA",-0.107744180226344,-0.632427633843949,-1.45141462604864
"29",343004,"0","1","0","0","0",-0.150196454990468,0.992932077715915,-0.042891947637236
"30",345009,"0","1","0","0","0",-0.161361706141292,0.207917919154023,0.0883682302792383
"31",345025,"0","NA","NA","NA","NA",-0.216483521808851,-0.566721602951104,0.916317044829317
"32",384008,"1","1","0","0","1",4.46895701366352,-0.632427633843949,-1.14093382059237
"33",387001,"0","0","0","1","0",-0.23649802108648,-1.68372412812948,0.300403902298159
"34",391003,"1","1","1","1","1",2.08156019923065,0.408494223984815,-1.3857845370904
"35",393702,"1","1","1","0","1",-0.161215202170533,0.425785284746089,-0.270073024800364
"36",396002,"1","1","0","0","1",-0.0433340859971918,-2.04683640411626,0.108562103804852
"37",411017,"0","1","0","1","1",-0.018571737187348,0.228667192067554,0.0176896729396011
"38",413013,"0","0","1","0","0",-0.212117888367565,0.868436440234734,-0.118618973358278
"39",444000,"0","1","0","0","0",-0.163029428613223,-0.0791136894831445,-0.159006720409501
"40",444265,"1","NA","NA","NA","NA",-0.237315165423981,0.366995678157753,-4.12710286819218
"41",444372,"0","0","0","0","1",-0.25483819202101,0.00734161432323142,0.583118131656726
"42",444877,"0","0","0","0","1",-0.26149024650931,0.98255744125915,-0.199394467460724
"43",471003,"1","1","1","1","1",0.207755847440678,-1.62147630938889,-0.19182176488862
"44",473009,"1","0","1","1","1",-0.230171734268142,-0.877960696654059,0.739620651480214
"45",474007,"0","1","0","0","1",-0.209080728358518,-0.507931996362768,0.931462449973526
"46",474098,"0","0","0","0","1",-0.24247887669415,1.69494914462369,-0.896083104094326
"47",474338,"0","NA","NA","NA","NA",-0.259823641065157,-0.784588968543175,0.552827321368308
"48",476002,"0","1","1","0","0",-0.227002476094846,0.491491315638939,0.477100295647266
"49",476200,"0","NA","NA","NA","NA",-0.249632649986481,0.82347968225542,-0.229685277749143
"50",476606,"0","1","0","0","0",-0.222488470550138,-0.0445315679605961,0.886026234540898
"51",478107,"0","NA","NA","NA","NA",-0.23448298001212,1.1174277151971,0.229725344958522
"52",478404,"0","1","0","0","0",-0.223470511298529,0.332413556635204,0.00759273617679191
"53",481002,"1","1","1","0","1",0.264149842192305,-0.421476692556392,-1.15103075735517
"54",481705,"1","NA","NA","NA","NA",-0.24682188069339,-1.27565509416339,0.976898665406149
"55",481754,"0","1","0","0","0",-0.265043434833401,0.436159921202854,-1.68364417159318
"56",484006,"0","1","0","0","1",-0.0210483803612442,0.363537466005501,1.14854659037385
"57",485003,"1","0","1","0","0",-0.197716087749395,-0.0583644165696135,-0.0580373527814453
"58",485300,"0","0","1","0","0",-0.233150423650763,0.519157012856978,0.810299208819856
"59",486019,"0","0","0","0","1",-0.246980094196715,-0.874502484501802,0.229725344958522
"60",543009,"0","1","0","0","0",-0.134787441980712,0.169877585479218,0.376130928019206
"61",543017,"0","1","0","0","0",-0.215013532512653,0.660943711099434,-0.159006720409501
"62",547000,"0","1","1","0","1",0.57092083703231,-0.272773570009427,-0.138812846883892
"63",571000,"1","1","0","0","1",-0.0804346614198194,0.294373222960399,0.408945972498324
"64",571216,"0","1","0","1","0",-0.265574003768653,-0.148277932528246,0.0176896729396011
"65",571240,"0","0","0","0","1",-0.133896747141787,1.25921441343956,-0.701717071410314
"66",574004,"0","NA","NA","NA","NA",-0.220178437846998,0.792355772885124,-0.759774457796447
"67",575001,"1","1","1","0","0",-0.144066610988188,0.311664283721673,0.290306965535354
"68",575142,"0","NA","NA","NA","NA",-0.264034142459057,1.14163520026288,1.27475829990892
"69",576009,"0","NA","NA","NA","NA",-0.249288528394587,1.43558323320456,-1.51199624662548
"70",576207,"0","NA","NA","NA","NA",-0.247159666041511,1.37679362661622,-1.50189930986267
"71",581009,"1","1","0","0","1",0.42821984511858,-0.179401841898543,0.199434534670103
"72",583005,"1","0","1","0","0",-0.211920174450933,0.156044736870196,1.79979901157482
"73",584052,"0","NA","NA","NA","NA",-0.230002870482731,0.771606499971593,0.376130928019206
"74",586008,"0","1","0","0","0",-0.235635386755692,-0.0756554773308877,0.638651283852159
"75",592006,"1","1","1","0","0",-0.22048677603181,0.864978228082482,0.769911461768633
"76",594002,"1","0","0","0","1",-0.25081562092114,1.02405598708621,2.12290098798461
"77",597005,"0","NA","NA","NA","NA",-0.252134214435277,1.89898366160674,-1.04753715553641
"78",611004,"1","1","1","0","1",0.142227646924365,0.882269288843757,0.325646244205178
"79",611244,"0","1","0","0","0",-0.241776439553947,0.820021470103164,0.598263536800931
"80",615286,"0","NA","NA","NA","NA",-0.252785865329799,0.951433531888858,-0.0832796946884592
"81",671339,"0","NA","NA","NA","NA",-0.267435280191699,1.46670714257486,1.19398280580647
"82",672006,"0","1","0","0","1",-0.252280506555941,1.37679362661622,0.72952371471741
"83",672006,"1","1","0","0","1",-0.252280506555941,1.37679362661622,1.69378117556536
"84",673004,"1","NA","NA","NA","NA",-0.249795158269019,1.2868801106576,0.199434534670103
"85",673202,"1","0","0","0","1",-0.246234285564183,-0.501015572058259,0.366033991256401
"86",673400,"1","NA","NA","NA","NA",-0.262197421388018,0.0246326750845056,0.72952371471741
"87",686006,"1","1","0","1","1",4.33792959757582,-0.52176484497179,-0.979382832387472
"88",686667,"0","1","0","1","1",-0.127372419002124,0.218292555610789,-1.15607922573657
"89",688887,"0","1","0","0","1",-0.265918780169934,0.986015653411407,-2.78925874712041
"90",694109,"0","NA","NA","NA","NA",-0.25385509202214,1.07938738152229,0.916317044829317
"91",696005,"1","NA","NA","NA","NA",-0.248226003868911,0.283998586503634,-1.28481516946235
"92",713040,"0","1","0","0","0",-0.0211351618641026,-0.998998121982984,0.461954890503052
"93",718007,"0","1","0","0","0",-0.204942949324759,-0.255482509248153,-0.0378434792558314
"94",722025,"1","1","0","0","1",-0.0304575290320118,0.654027286794925,0.207007237242208
"95",723197,"1","0","1","0","1",1.3376300607564,-1.49352245975546,-1.9007283119935
"96",725705,"0","NA","NA","NA","NA",-0.265014969884173,0.941058895432093,2.17338567179864
"97",726000,"1","0","0","1","0",-0.136925818328997,0.311664283721673,0.164095256000285
"98",732008,"1","1","1","0","0",-0.231964352001066,0.820021470103164,0.774959930150033
"99",734004,"1","1","0","0","0",-0.132580984715294,-0.877960696654059,1.44135775649522
"100",741009,"0","NA","NA","NA","NA",-0.134331213169968,-0.238191448486879,-1.00210094010379
"101",741132,"0","1","0","0","0",-0.227905862680416,-0.877960696654059,1.55242406088608
"102",741728,NA,"NA","NA","NA","NA",-0.268197902018194,0.363537466005501,0.573021194893917
"103",741793,NA,"NA","NA","NA","NA",-0.269726092313425,0.356621041700992,0.396324801544815
"104",743005,"1","0","0","0","1",-0.21164476932646,1.06555453291327,0.0176896729396011
"105",745000,"1","1","1","0","1",-0.233803403423158,0.806188621494146,-0.199394467460724
"106",746008,"0","1","0","0","0",-0.18797000113089,-0.103321174548932,0.108562103804852
"107",747006,"0","1","0","0","1",0.0479805081736133,-1.65605843091144,-0.701717071410312
"108",751008,"0","0","1","0","0",0.390627180441728,-1.16153409313897,-2.32479965603135
"109",755009,"0","1","0","0","0",-0.119771642007765,-0.798421817152192,-0.638611216642777
"110",755447,"0","NA","NA","NA","NA",-0.251438845384632,-0.708508301193564,-0.532593380633317
"111",756056,"0","1","0","0","1",0.0668193357153364,-1.29640436707692,0.456906422121652
"112",756353,"0","NA","NA","NA","NA",-0.191996963305473,-0.874502484501802,-1.08287643420623
"113",756403,"0","1","1","0","0",-0.0405528794220079,-0.874502484501802,1.17378893228087
"114",757526,"0","NA","NA","NA","NA",-0.240056910104056,-1.07162057718034,0.0530289516094197
"115",757625,"0","1","0","0","0",-0.130833510311864,-2.86643268420071,-0.29531536670738
"116",757674,"0","NA","NA","NA","NA",-0.196558095866935,-4.19784436281889,0.254967686865536
"117",762906,"0","1","1","1","1",-0.206515108144408,-1.5903524000186,-0.449293652340168
"118",763029,"1","1","0","1","0",-0.159015812994672,-0.473349874840219,-0.204442935842127
"119",764001,"0","NA","NA","NA","NA",-0.248535863522592,-0.127528659614715,0.522536511079889
"120",773002,"0","1","0","0","1",0.0712637773922407,-0.103321174548932,0.133804445711866
"121",773200,"1","NA","NA","NA","NA",-0.240939727971239,-0.611678360930423,-0.310460771851589
"122",775007,"1","1","0","0","1",-0.0952307728434759,0.612528740967863,0.567972726512517
"123",781005,"1","NA","NA","NA","NA",-0.231089237773729,0.325497132330696,-0.325606176995796
"124",781104,"1","NA","NA","NA","NA",-0.230591563380617,-1.85317652358998,0.300403902298164
"125",781278,"0","NA","NA","NA","NA",-0.25820761001659,-2.16787382944519,-0.128715910121085
"126",784009,"0","0","0","0","1",-0.224315696885067,0.975641016954641,-1.60286867749073
