CODE_UIC;CODE UIC8;GARE;Ligne;Handicap Moteur;Handicap Visuel;Handicap Auditif;Handicap Mental
393843;87393843;SAINT QUENTIN EN YVELINES;LIGNE C;3.0;2.0;2.0;2.0
116087;87116087;MORMANT;LIGNE P;3.0;3.0;3.0;3.0
386409;87386409;HOUILLES CARRIERES SUR SEINE;LIGNE A;2.0;2.0;2.0;2.0
382358;87382358;SAINT-CLOUD;LIGNE U;2.0;2.0;2.0;2.0
546200;87546200;ORLY VILLE;LIGNE C;3.0;2.0;2.0;2.0
276030;87276030;CHAMP DE COURSES D'ENGHIEN;LIGNE H;3.0;2.0;2.0;2.0
276626;87276626;VAUCELLES;LIGNE H;3.0;3.0;3.0;3.0
276162;87276162;CHAPONVAL;LIGNE H;3.0;3.0;3.0;3.0
545293;87545293;VITRY SUR SEINE;LIGNE C;3.0;2.0;2.0;2.0
116244;87116244;MORTCERF;LIGNE P;3.0;3.0;3.0;3.0
681353;87681353;GRAND BOURG;LIGNE D;3.0;3.0;3.0;3.0
381871;87381871;FRETTE MONTIGNY (LA);LIGNE J;3.0;2.0;2.0;2.0
391565;87391565;CLAMART;LIGNE N;3.0;2.0;2.0;2.0
381244;87381244;GISORS;LIGNE J;2.0;2.0;2.0;2.0
115873;87115873;CHAMPBENOIST POIGNY;LIGNE P;3.0;3.0;3.0;3.0
276584;87276584;ERMONT HALTE;LIGNE H;3.0;3.0;3.0;3.0
681627;87681627;PLESSIS CHENET (LE);LIGNE D;3.0;3.0;3.0;3.0
113746;87113746;NOGENT LE PERREUX;LIGNE E;2.0;2.0;2.0;2.0
381905;87381905;CERGY PREFECTURE;LIGNE L;2.0;2.0;2.0;2.0
116327;87116327;ESBLY;LIGNE P;2.0;2.0;2.0;2.0
276220;87276220;VILLIERS LE BEL GONESSE ARNOUVILLE;LIGNE D;3.0;2.0;2.0;2.0
386730;87386730;AUBERGENVILLE ELISABETHVILLE;LIGNE J;3.0;2.0;2.0;2.0
682146;87682146;COMBS LA VILLE QUINCY;LIGNE D;3.0;2.0;2.0;2.0
116012;87116012;GRETZ ARMAINVILLIERS;LIGNE E;3.0;2.0;2.0;2.0
545178;87545178;BOURAY;LIGNE C;3.0;2.0;2.0;2.0
381186;87381186;SANTEUIL LE PERCHAY;LIGNE J;3.0;3.0;3.0;3.0
271023;87271023;PARIS GARE DU NORD;LIGNE D;2.0;2.0;2.0;2.0
276154;87276154;PONT PETIT;LIGNE H;3.0;3.0;3.0;3.0
116046;87116046;EMERAINVILLE PONTAULT COMBAULT;LIGNE E;2.0;2.0;2.0;2.0
682518;87682518;BOISSISE LE ROI;LIGNE D;3.0;3.0;3.0;3.0
686006;87686006;PARIS GARE DE LYON souterrain;LIGNE D;2.0;2.0;2.0;2.0
334482;87334482;NEUVILLE UNIVERSITE;LIGNE A;2.0;2.0;2.0;2.0
271445;87271445;SEVRAN-BEAUDOTTES;LIGNE B;2.0;2.0;2.0;2.0
116178;87116178;SAINTE-COLOMBE SEPTVEILLES;LIGNE P;3.0;3.0;3.0;3.0
271411;87271411;AULNAY-SOUS-BOIS;LIGNE K;2.0;2.0;2.0;2.0
276659;87276659;FRÉPILLON;LIGNE H;3.0;3.0;3.0;3.0
393835;87393835;TRAPPES;LIGNE U;3.0;2.0;2.0;2.0
681346;87681346;ORANGIS BOIS DE L'EPINE;LIGNE D;3.0;2.0;2.0;2.0
276261;87276261;SURVILLIERS FOSSES;LIGNE D;3.0;2.0;2.0;2.0
547307;87547307;MUSEE D'ORSAY;LIGNE C;3.0;2.0;2.0;2.0
276089;87276089;MONTINGY-BEAUCHAMP;LIGNE C;3.0;2.0;2.0;2.0
545301;87545301;IVRY-SUR-SEINE;LIGNE C;3.0;2.0;2.0;2.0
393165;87393165;PORCHEFONTAINE;LIGNE C;3.0;2.0;2.0;2.0
113704;87113704;ROSNY SOUS BOIS;LIGNE E;2.0;2.0;2.0;2.0
682179;87682179;MEE (LE);LIGNE D;3.0;2.0;2.0;2.0
381145;87381145;OSNY;LIGNE J;3.0;2.0;2.0;2.0
545194;87545194;BRETIGNY;LIGNE C;3.0;2.0;2.0;2.0
545244;87545244;JUVISY;LIGNE D;3.0;2.0;2.0;2.0
393561;87393561;IGNY;LIGNE C;3.0;3.0;3.0;3.0
386003;87386003;GARENNE COLOMBES (LA);LIGNE L;2.0;2.0;2.0;2.0
164780;87164780;STADE DE FRANCE SAINT-DENIS;LIGNE D;2.0;2.0;2.0;2.0
988709;87988709;REMISE A JORELLE;LIGNE T4;1.0;1.0;1.0;1.0
393447;87393447;ORGERUS BEHOUST;LIGNE N;3.0;3.0;3.0;3.0
681510;87681510;BUNO GIRONVILLE;LIGNE D;3.0;3.0;3.0;3.0
682419;87682419;CHARTRETTES;LIGNE R;3.0;3.0;3.0;3.0
381830;87381830;MEULAN HARDRICOURT;LIGNE J;3.0;2.0;2.0;2.0
276055;87276055;ERMONT EAUBONNE;LIGNE J;2.0;2.0;2.0;2.0
276147;87276147;ÉPLUCHES;LIGNE H;3.0;3.0;3.0;3.0
697318;87697318;VILLETANEUSE UNIVERSITE;LIGNE T11;1.0;1.0;1.0;1.0
697334;87697334;STAINS LA CERISAIE;LIGNE T11;1.0;1.0;1.0;1.0
276527;87276527;ISLE ADAM PARMAIN (L');LIGNE H;3.0;2.0;2.0;2.0
393207;87393207;CHAVILLE RIVE GAUCHE;LIGNE N;3.0;2.0;2.0;2.0
391003;87391003;PARIS MONTPARNASSE;LIGNE N;2.0;2.0;2.0;2.0
686030;87686030;PARIS GARE DE LYON surface;LIGNE R;2.0;2.0;2.0;2.0
545202;87545202;SAINT MICHEL SUR ORGE;LIGNE C;3.0;2.0;2.0;2.0
382861;87382861;VERSAILLES RIVE DROITE;LIGNE L;2.0;2.0;2.0;2.0
381038;87381038;AVENUE FOCH;LIGNE C;3.0;2.0;2.0;2.0
381087;87381087;COLOMBES;LIGNE J;2.0;2.0;2.0;2.0
116517;87116517;FERTÉ SOUS JOUARRE (LA);LIGNE P;3.0;2.0;2.0;2.0
276113;87276113;CHANTILLY GOUVIEUX;LIGNE D;0.0;2.0;2.0;2.0
393579;87393579;MASSY-PALAISEAU;LIGNE C;3.0;2.0;2.0;2.0
276402;87276402;SAINT-LEU D'ESSERENT;LIGNE H;0.0;2.0;2.0;2.0
116301;87116301;COULOMMIERS;LIGNE P;2.0;2.0;2.0;2.0
113209;87113209;PANTIN;LIGNE E;3.0;2.0;2.0;2.0
681452;87681452;FERTE ALAIS (LA);LIGNE D;3.0;3.0;3.0;3.0
116574;87116574;CHEZY SUR MARNE;LIGNE P;0.0;0.0;0.0;0.0
116111;87116111;CHELLES GOURNAY;LIGNE P;2.0;2.0;2.0;2.0
116285;87116285;MOUROUX;LIGNE P;3.0;3.0;3.0;3.0
682005;87682005;MELUN;LIGNE R;3.0;2.0;2.0;2.0
382465;87382465;MARLY LE ROI;LIGNE L;3.0;2.0;2.0;2.0
608802;87608802;CRETEIL POMPADOUR;LIGNE D;2.0;2.0;2.0;2.0
382218;87382218;DEFENSE (LA);LIGNE U;2.0;2.0;2.0;2.0
684191;87684191;BAGNEAUX SUR LOING;LIGNE R;3.0;3.0;3.0;3.0
682526;87682526;PONTHIERRY PRINGY;LIGNE D;3.0;3.0;3.0;3.0
271403;87271403;DRANCY;LIGNE B;2.0;2.0;2.0;2.0
393082;87393082;MEUDON VAL-FLEURY;LIGNE C;3.0;2.0;2.0;2.0
545251;87545251;ATHIS-MONS;LIGNE C;3.0;2.0;2.0;2.0
382341;87382341;SEVRES VILLE D'AVRAY;LIGNE U;3.0;2.0;2.0;2.0
382200;87382200;COURBEVOIE;LIGNE L;3.0;2.0;2.0;2.0
276006;87276006;CREIL;LIGNE H;0.0;2.0;2.0;2.0
381723;87381723;MAULE;LIGNE N;3.0;3.0;3.0;3.0
681155;87681155;MAISONS ALFORT ALFORTVILLE;LIGNE D;3.0;2.0;2.0;2.0
681437;87681437;BALLANCOURT;LIGNE D;3.0;3.0;3.0;3.0
276287;87276287;BORNE BLANCHE (LA);LIGNE D;0.0;0.0;0.0;0.0
545236;87545236;SAVIGNY SUR ORGE;LIGNE C;3.0;2.0;2.0;2.0
381202;87381202;VILLETERTRE (LA);LIGNE J;0.0;0.0;0.0;0.0
681411;87681411;MENNECY;LIGNE D;3.0;2.0;2.0;2.0
381137;87381137;ASNIERES SUR SEINE;LIGNE L;2.0;2.0;2.0;2.0
545244;87545244;JUVISY-SUR-ORGE;LIGNE C;3.0;2.0;2.0;2.0
381897;87381897;CONFLANS SAINTE-HONORINE;LIGNE J;2.0;2.0;2.0;2.0
113852;87113852;PAVILLONS SOUS BOIS (LES);LIGNE T4;1.0;1.0;1.0;1.0
393280;87393280;ESSARTS LE ROI (LES);LIGNE N;3.0;2.0;2.0;2.0
393124;87393124;SEVRES RIVE GAUCHE;LIGNE N;3.0;2.0;2.0;2.0
271395;87271395;BOURGET (LE);LIGNE T11;1.0;1.0;1.0;1.0
681361;87681361;EVRY VAL DE SEINE;LIGNE D;3.0;2.0;2.0;2.0
684415;87684415;MALESHERBES;LIGNE D;0.0;2.0;2.0;2.0
116269;87116269;GUERARD LA CELLE SUR MORIN;LIGNE P;3.0;3.0;3.0;3.0
276600;87276600;SAINT-LEU LA FORÊT;LIGNE H;2.0;2.0;2.0;2.0
116749;87116749;VILLIERS MONTBARBIN;LIGNE P;3.0;3.0;3.0;3.0
271163;87271163;PIERREFITTE STAINS;LIGNE D;3.0;2.0;2.0;2.0
386425;87386425;MAISONS LAFFITTE;LIGNE L;2.0;2.0;2.0;2.0
545269;87545269;ABLON;LIGNE C;3.0;2.0;2.0;2.0
545145;87545145;ETRECHY;LIGNE C;3.0;2.0;2.0;2.0
681619;87681619;VILLABE;LIGNE D;3.0;3.0;3.0;3.0
276543;87276543;AUVERS SUR OISE;LIGNE H;3.0;3.0;3.0;3.0
386649;87386649;VILLENNES SUR SEINE;LIGNE J;3.0;2.0;2.0;2.0
415885;87415885;ROSNY SUR SEINE;LIGNE J;3.0;3.0;3.0;3.0
116228;87116228;MARLES EN BRIE;LIGNE P;3.0;3.0;3.0;3.0
545475;87545475;EGLY;LIGNE C;3.0;3.0;3.0;3.0
366922;87366922;SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;LIGNE L;1.0;1.0;1.0;1.0
381210;87381210;LIANCOURT SAINT-PIERRE;LIGNE J;0.0;0.0;0.0;0.0
758607;87758607;CHÂTELET LES HALLES;LIGNE D;3.0;2.0;2.0;2.0
276576;87276576;LUZARCHES;LIGNE H;2.0;2.0;2.0;2.0
116632;87116632;LIZY SUR OURCQ;LIGNE P;3.0;3.0;3.0;3.0
393413;87393413;VILLEPREUX LES CLAYES;LIGNE N;3.0;2.0;2.0;2.0
381715;87381715;MAREIL SUR MAULDRE;LIGNE N;3.0;3.0;3.0;3.0
393223;87393223;SAINT-CYR;LIGNE N;3.0;2.0;2.0;2.0
386409;87386409;HOUILLES CARRIERES SUR SEINE;LIGNE J;2.0;2.0;2.0;2.0
382374;87382374;SURESNES MONT VALERIEN;LIGNE L;2.0;2.0;2.0;2.0
386573;87386573;POISSY;LIGNE J;2.0;2.0;2.0;2.0
545483;87545483;BREUILLET-BRUYERES-LE-CHATEL;LIGNE C;3.0;3.0;3.0;3.0
393108;87393108;MEUDON;LIGNE N;3.0;2.0;2.0;2.0
382002;87382002;BECON LES BRUYERES;LIGNE L;3.0;2.0;2.0;2.0
381137;87381137;ASNIERES SUR SEINE;LIGNE J;2.0;2.0;2.0;2.0
393033;87393033;INVALIDES;LIGNE C;3.0;2.0;2.0;2.0
382333;87382333;CHAVILLE RIVE DROITE;LIGNE U;2.0;2.0;2.0;2.0
276238;87276238;NOUES (LES);LIGNE D;3.0;3.0;3.0;3.0
492108;87492108;ARDOINES (LES);LIGNE C;3.0;2.0;2.0;2.0
384008;87384008;PARIS SAINT-LAZARE;LIGNE J;2.0;2.0;2.0;2.0
272021;87272021;VILLAINES;LIGNE H;3.0;3.0;3.0;3.0
681825;87681825;VILLENEUVE SAINT-GEORGES;LIGNE D;3.0;2.0;2.0;2.0
684241;87684241;FERRIERE FONTENAY;LIGNE R;0.0;0.0;0.0;0.0
545186;87545186;MAROLLES-EN-HUREPOIX;LIGNE C;3.0;2.0;2.0;2.0
271031;87271031;PARIS NORD souterrain;LIGNE H;2.0;2.0;2.0;2.0
386656;87386656;VERNOUILLET-VERNEUIL;LIGNE J;3.0;2.0;2.0;2.0
276345;87276345;DEUIL MONTMAGNY;LIGNE H;3.0;2.0;2.0;2.0
681387;87681387;EVRY COURCOURONNES (PREFECTURE);LIGNE D;2.0;2.0;2.0;2.0
682211;87682211;FONTAINEBLEAU AVON;LIGNE R;3.0;2.0;2.0;2.0
393322;87393322;PONT DU GARIGLIANO - HOPITAL EUROPEEN GEORGES POMPIDOU;LIGNE C;2.0;2.0;2.0;2.0
384008;87384008;PARIS SAINT-LAZARE;LIGNE L;2.0;2.0;2.0;2.0
546317;87546317;CHEMIN D'ANTONY;LIGNE C;3.0;3.0;3.0;3.0
271031;87271031;PARIS NORD;LIGNE K;2.0;2.0;2.0;2.0
393116;87393116;BELLEVUE;LIGNE N;3.0;2.0;2.0;2.0
681304;87681304;VIGNEUX SUR SEINE;LIGNE D;3.0;2.0;2.0;2.0
681601;87681601;ESSONNES ROBINSON;LIGNE D;3.0;3.0;3.0;3.0
681007;87681007;CORBEIL ESSONNES;LIGNE D;3.0;2.0;2.0;2.0
276642;87276642;BESSANCOURT;LIGNE H;3.0;2.0;2.0;2.0
382366;87382366;VAL D'OR (LE);LIGNE U;2.0;2.0;2.0;2.0
113886;87113886;ABBAYE (L');LIGNE T4;1.0;1.0;1.0;1.0
271304;87271304;COURNEUVE-AUBERVILLIERS (LA);LIGNE B;2.0;2.0;2.0;2.0
381657;87381657;ACHERES VILLE;LIGNE A;2.0;2.0;2.0;2.0
276410;87276410;PRÉCY-SUR-OISE;LIGNE H;0.0;2.0;2.0;2.0
382655;87382655;CERGY LE HAUT;LIGNE L;2.0;2.0;2.0;2.0
545491;87545491;BREUILLET-VILLAGE;LIGNE C;3.0;2.0;2.0;2.0
116582;87116582;CHÂTEAU THIERRY;LIGNE P;0.0;2.0;2.0;2.0
393041;87393041;PONT DE L'ALMA;LIGNE C;3.0;2.0;2.0;2.0
271577;87271577;NANTEUIL LE-HAUDOUIN;LIGNE K;0.0;0.0;0.0;0.0
381228;87381228;CHAUMONT EN VEXIN;LIGNE J;0.0;0.0;0.0;0.0
545285;87545285;CHOISY-LE-ROI;LIGNE C;3.0;2.0;2.0;2.0
276634;87276634;TAVERNY;LIGNE H;3.0;2.0;2.0;2.0
682278;87682278;MORET VENEUX LES SABLONS;LIGNE R;3.0;2.0;2.0;2.0
116277;87116277;FAREMOUTIERS POMMEUSE;LIGNE P;3.0;3.0;3.0;3.0
116137;87116137;LONGUEVILLE;LIGNE P;3.0;2.0;2.0;2.0
271551;87271551;PLESSIS BELLEVILLE (LE);LIGNE K;0.0;0.0;0.0;0.0
381459;87381459;CONFLANS FIN D'OISE;LIGNE L;2.0;2.0;2.0;2.0
386417;87386417;SARTROUVILLE;LIGNE L;2.0;2.0;2.0;2.0
546226;87546226;SAULES (LES);LIGNE C;3.0;2.0;2.0;2.0
681486;87681486;MAISSE;LIGNE D;3.0;3.0;3.0;3.0
393066;87393066;JAVEL;LIGNE C;3.0;2.0;2.0;2.0
276550;87276550;BELLOY SAINT-MARTIN;LIGNE H;3.0;3.0;3.0;3.0
116293;87116293;VAIRES TORCY;LIGNE P;3.0;2.0;2.0;2.0
681379;87681379;GRIGNY CENTRE;LIGNE D;2.0;2.0;2.0;2.0
393306;87393306;ISSY-VAL-DE-SEINE;LIGNE C;3.0;2.0;2.0;2.0
545228;87545228;EPINAY-SUR-ORGE;LIGNE C;3.0;2.0;2.0;2.0
393892;87393892;MONTFORT L'AMAURY MERE;LIGNE N;2.0;2.0;2.0;2.0
276436;87276436;DOMONT;LIGNE H;2.0;2.0;2.0;2.0
382655;87382655;CERGY LE HAUT;LIGNE A;2.0;2.0;2.0;2.0
381574;87381574;ISSOU PORCHEVILLE;LIGNE J;3.0;3.0;3.0;3.0
682468;87682468;VERNOU-SUR-SEINE;LIGNE R;3.0;3.0;3.0;3.0
545160;87545160;LARDY;LIGNE C;3.0;3.0;3.0;3.0
382887;87382887;VIROFLAY RIVE GAUCHE;LIGNE C;3.0;2.0;2.0;2.0
682120;87682120;BRUNOY;LIGNE D;3.0;2.0;2.0;2.0
276568;87276568;VIARMES;LIGNE H;3.0;3.0;3.0;3.0
116103;87116103;MEAUX;LIGNE P;3.0;2.0;2.0;2.0
113795;87113795;VILLIERS SUR MARNE LE PLESSIS TRÉVISE;LIGNE E;2.0;2.0;2.0;2.0
116079;87116079;VERNEUIL L'ÉTANG;LIGNE P;3.0;3.0;3.0;3.0
393215;87393215;VIROFLAY RIVE GAUCHE;LIGNE N;3.0;2.0;2.0;2.0
382341;87382341;SEVRES VILLE D'AVRAY;LIGNE L;3.0;2.0;2.0;2.0
271122;87271122;EPINAY VILLETANEUSE;LIGNE T11;1.0;1.0;1.0;1.0
381806;87381806;TRIEL SUR SEINE;LIGNE J;3.0;2.0;2.0;2.0
682450;87682450;CHAMPAGNE SUR SEINE;LIGNE R;3.0;3.0;3.0;3.0
382499;87382499;CERGY SAINT-CHRISTOPHE;LIGNE A;2.0;2.0;2.0;2.0
276170;87276170;SAINT-GRATIEN;LIGNE C;3.0;2.0;2.0;2.0
382218;87382218;DEFENSE (LA);LIGNE L;2.0;2.0;2.0;2.0
682153;87682153;LIEUSAINT-MOISSY;LIGNE D;3.0;2.0;2.0;2.0
113472;87113472;RAINCY VILLEMOMBLE MONTFERMEIL (LE);LIGNE E;3.0;2.0;2.0;2.0
276089;87276089;MONTIGNY BEAUCHAMP;LIGNE H;3.0;2.0;2.0;2.0
271015;87271015;SAINT-DENIS;LIGNE D;3.0;2.0;2.0;2.0
381566;87381566;GARGENVILLE;LIGNE J;3.0;2.0;2.0;2.0
276139;87276139;PONTOISE;LIGNE H;3.0;2.0;2.0;2.0
276055;87276055;ERMONT EAUBONNE;LIGNE C;3.0;2.0;2.0;2.0
386763;87386763;EPONE MEZIERES;LIGNE J;3.0;2.0;2.0;2.0
393512;87393512;JOUY-EN-JOSAS;LIGNE C;3.0;2.0;2.0;2.0
545152;87545152;CHAMARANDE;LIGNE C;3.0;3.0;3.0;3.0
381889;87381889;HERBLAY;LIGNE J;3.0;2.0;2.0;2.0
116509;87116509;CHANGIS SAINT-JEAN;LIGNE P;3.0;3.0;3.0;3.0
682500;87682500;VOSVES;LIGNE D;3.0;3.0;3.0;3.0
543090;87543090;ANGERVILLE;LIGNE C;3.0;2.0;2.0;2.0
545525;87545525;DOURDAN;LIGNE C;3.0;2.0;2.0;2.0
382887;87382887;VIROFLAY RIVE DROITE;LIGNE L;3.0;2.0;2.0;2.0
381822;87381822;THUN LE PARADIS;LIGNE J;3.0;3.0;3.0;3.0
116491;87116491;TRILPORT;LIGNE P;3.0;2.0;2.0;2.0
393157;87393157;VERSAILLES CHÂTEAU RIVE GAUCHE;LIGNE C;2.0;2.0;2.0;2.0
546291;87546291;RUNGIS-LA-FRATERNELLE;LIGNE C;3.0;3.0;3.0;3.0
271593;87271593;CRÉPY EN-VALLOIS;LIGNE K;0.0;2.0;2.0;2.0
682252;87682252;THOMERY;LIGNE R;3.0;3.0;3.0;3.0
381426;87381426;SAINT-OUEN-L'AUMÔNE-quartier eglise;LIGNE J;3.0;2.0;2.0;2.0
393256;87393256;VERRIERE (LA);LIGNE N;3.0;2.0;2.0;2.0
381731;87381731;NEZEL AULNAY;LIGNE N;3.0;3.0;3.0;3.0
415604;87415604;VERNON;LIGNE J;0.0;0.0;0.0;0.0
328328;87328328;BIBLIOTHEQUE FRANCOIS MITTERAND;LIGNE C;2.0;2.0;2.0;2.0
271205;87271205;GENNEVILLIERS;LIGNE C;3.0;2.0;2.0;2.0
545228;87545228;EPINAY-SUR-SEINE;LIGNE C;3.0;2.0;2.0;2.0
684001;87684001;MONTARGIS;LIGNE R;2.0;2.0;2.0;2.0
116566;87116566;NOGENT L'ARTAUD CHARLY;LIGNE P;0.0;0.0;0.0;0.0
